"iso3","Year","GPI"
"IRQ",2011,3.193
"IRQ",2012,3.085
"IRQ",2013,3.077
"IRQ",2014,3.05399999999999
"IRQ",2015,3.238
"IRQ",2016,3.394
"IRQ",2017,3.42099999999999
"IRQ",2018,3.31199999999999
"IRQ",2019,3.249
"IRQ",2020,3.398
"IRQ",2021,3.23099999999999
"IRQ",2022,3.157
"IRL",2008,1.397
"IRL",2009,1.453
"IRL",2010,1.437
"IRL",2011,1.452
"IRL",2012,1.409
"IRL",2013,1.395
"IRL",2014,1.369
"IRL",2015,1.38199999999999
"IRL",2016,1.381
"IRL",2017,1.375
"IRL",2018,1.332
"IRL",2019,1.326
"IRL",2020,1.357
"IRL",2021,1.30699999999999
"IRL",2022,1.288
"ISR",2008,2.89199999999999
"ISR",2009,2.883
"ISR",2010,2.886
"ISR",2011,2.867
"ISR",2012,2.761
"ISR",2013,2.713
"ISR",2014,2.63
"ISR",2015,2.633
"ISR",2016,2.741
"ISR",2017,2.786
"ISR",2018,2.73099999999999
"ISR",2019,2.717
"ISR",2020,2.753
"ISR",2021,2.63499999999999
"ISR",2022,2.576
"ITA",2008,1.635
"ITA",2009,1.71
"ITA",2010,1.722
"ITA",2011,1.74
"ITA",2012,1.726
"ITA",2013,1.716
"ITA",2014,1.65799999999999
"ITA",2015,1.65799999999999
"ITA",2016,1.64399999999999
"ITA",2017,1.653
"ITA",2018,1.705
"ITA",2019,1.677
"ITA",2020,1.639
"ITA",2021,1.661
"ITA",2022,1.643
"JAM",2008,1.981
"JAM",2009,1.979
"JAM",2010,1.999
"JAM",2011,2.03799999999999
"JAM",2012,2.084
"JAM",2013,2.036
"JAM",2014,2.015
"JAM",2015,1.987
"JAM",2016,1.964
"JAM",2017,1.94199999999999
"JAM",2018,1.954
"JAM",2019,1.944
"JAM",2020,1.964
